sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
ni sen gohyaku sanjuu san, sen yonhyaku juushi
kyuuhyaku hatachi hachi, hyaku gojuu san
sanbyaku yonjuu san, yonsen roppyaku kyuujuu kyuu
kyuuhyaku gojuu hitotsu, yonhyaku kyuujuu yon
sen yonjuu ni, roppyaku juukyuu
ni sen happyaku shichijuu ni, nanahyaku roku
yonsen gohyaku gojuu, sanzen nihyaku shichijuu shichi
sanzen nihyaku hachijuu shichi, hyaku juukyuu
ni sen nihyaku hatachi san, sanzen hyaku gojuu hitotsu
sanzen happyaku kyuujuu hitotsu, yonsen hyaku shichijuu hitotsu
yonsen hyaku juuroku, sanzen roku
sanzen kyuuhyaku shichijuu ni, ni sen yonhyaku hachijuu shichi
nihyaku hatachi shichi, sen happyaku hachijuu go
sen happyaku juuni, yonsen sanbyaku kyuujuu roku
hyaku sanjuu roku, hyaku yonjuu
ni sen sanjuu ni, sanzen happyaku hachijuu roku
happyaku hatachi ni, sanzen roppyaku rokujuu kyuu
yonsen roppyaku kyuujuu ni, sen nanahyaku kyuu
kyuuhyaku kyuujuu yon, yonsen happyaku hachijuu hitotsu
nihyaku gojuu ni, sen gohyaku rokujuu ni
roppyaku juuni, ni sen kyuuhyaku sanjuu yon
yonsen nihyaku rokujuu kyuu, sen yonhyaku hachijuu kyuu
yonsen gohyaku hachijuu go, happyaku sanjuu
roppyaku shichijuu go, sanzen hyakuhachi juusan
ni sen yonhyaku kyuu, yonhyaku shichijuu ni
sanzen roppyaku juuichi, ni sen gohyaku hachijuu shichi
sanzen nihyaku kyuujuu shichi, ni sen hyaku hatachi yon
sanzen sanbyaku kyuujuu roku, sanzen nihyaku yonjuu go
gohyaku shichijuu shichi, nanahyaku gojuu roku
sen hyaku sanjuu go, sen yonhyaku shichijuu shichi
sanzen nihyaku juushi, sen hyaku sanjuu roku
nanahyaku gojuu kyuu, sen nanahyaku shichijuu ni
sen sanbyaku shichijuu, sen gohyaku shichijuu shichi
yonsen kyuuhyaku gojuu ni, juuni
gohyaku juuroku, sanjuu shichi
sen gohyaku yonjuu go, ni sen hyaku shichijuu yon
sanzen gohyaku sanjuu roku, kyuu
yonsen sanbyaku kyuu, yonsen roppyaku rokujuu yon
sen sanbyaku hatachi roku, nihyaku juu
sanzen sanbyaku sanjuu, sen gojuu yon
ni sen roppyaku sanjuu go, yonsen hyaku rokujuu
nanahyaku sanjuu shichi, yonsen sanbyaku rokujuu shichi
yonsen kyuuhyaku sanjuu hachi, sanbyaku kyuu
sen happyaku kyuujuu yon, yonsen kyuuhyaku kyuujuu ni
yonsen happyaku hatachi kyuu, yonsen sanjuu yon
yonsen kyuuhyaku kyuujuu ni, sen gohyaku juushi
ni sen nanahyaku rokujuu hitotsu, yonsen gohyaku gojuu hachi
sanzen roppyaku rokujuu kyuu, ni sen roppyaku juuni
sanzen roppyaku sanjuu hachi, ni sen happyaku shichi
yonsen hyaku shichijuu hachi, yonsen yonjuu roku
ni sen gohyaku kyuujuu ni, kyuuhyaku shichijuu go
sanzen hachijuu san, sanzen yonhyaku gojuu yon
ni sen sanbyaku hachijuu san, sen kyuuhyaku hatachi san
happyaku juugo, sanzen hyaku yon
ni sen happyaku roku, sanzen roppyaku shichijuu go
sanzen kyuuhyaku yon, sen yonhyaku gojuu yon
sen hyakuhachi juusan, hitotsu
sen gohyaku sanjuu shichi, sen hyakuhachi juuhachi
nihyaku hachijuu shichi, gohyaku yonjuu go
nanahyaku yonjuu, sanzen gohyaku gojuu san
yonsen roppyaku rokujuu roku, yonsen nanahyaku hatachi shichi
ni sen hyaku, hyaku hatachi kyuu
ni sen nihyaku juugo, sanzen sanbyaku sanjuu kyuu
nihyaku kyuujuu roku, ni sen gohyaku hachijuu hitotsu
sanzen gohyaku rokujuu shichi, ni sen juushichi
sen nihyaku gojuu roku, yonsen roppyaku roku
ni sen nanahyaku kyuujuu san, yonhyaku gojuu yon
sen kyuuhyaku hachijuu kyuu, ni sen gojuu ni
ni sen hyaku kyuu, roppyaku gojuu yon
nanahyaku juuroku, nanahyaku kyuujuu kyuu
yonsen sanbyaku rokujuu hitotsu, yonsen nihyaku hatachi go
ni sen happyaku kyuujuu hachi, sanzen nihyaku sanjuu yon
hachijuu hachi, sanbyaku hitotsu
yonsen nanahyaku kyuujuu yon, yonsen sanbyaku rokujuu san
sanzen gohyaku gojuu go, sanzen nihyaku sanjuu shichi
gohyaku hatachi hachi, sanzen yonhyaku gojuu hitotsu
ni sen nihyaku shichijuu hachi, sanzen yonhyaku shichijuu hitotsu
sen hyaku juusan, yonsen yonhyaku sanjuu kyuu
ni sen hyaku gojuu hitotsu, ni sen hatachi shichi
nanahyaku kyuujuu ni, ni sen kyuuhyaku rokujuu roku
sen yonhyaku shichijuu go, gohyaku juuroku
yonsen roppyaku hatachi go, sen kyuuhyaku yonjuu roku
yonhyaku sanjuu hitotsu, ni sen gohyaku shichijuu
sanzen hachijuu hitotsu, sanzen gohyaku kyuujuu hachi
gohyaku hachijuu hitotsu, ni sen nanahyaku hachijuu yon
rokujuu, sanzen roppyaku shichijuu hitotsu
sen yonhyaku sanjuu, sen roppyaku kyuujuu shichi
kyuuhyaku yonjuu ni, ni sen nihyaku juuichi
yonsen nanahyaku hatachi shichi, yonsen sanbyaku hachijuu kyuu
ni sen roppyaku hachijuu hachi, sen yonhyaku juukyuu
juuroku, sen roppyaku shichijuu shichi
sanzen nanahyaku, ni sen kyuuhyaku gojuu shichi
ni sen kyuuhyaku sanjuu kyuu, yonsen nanahyaku juuhachi
yonsen yonhyaku shichijuu yon, ni sen nihyaku hachijuu
sen yonhyaku kyuujuu yon, ni sen roppyaku shichijuu yon
yonsen juushichi, sen gohyaku kyuujuu hitotsu
yonsen kyuuhyaku rokujuu hachi, ni sen nanahyaku gojuu shichi
sen kyuuhyaku hatachi go, sen hyaku hatachi san
yonsen nanahyaku gojuu san, sanbyaku shichijuu go
ni sen sanbyaku rokujuu, sanzen sanbyaku sanjuu san
yonsen gohyaku kyuujuu kyuu, nanahyaku rokujuu san
ni sen gohyaku juukyuu, sen roppyaku juuhachi
yonhyaku shichijuu, ni sen kyuuhyaku juu
ni sen hyaku hatachi shichi, happyaku gojuu hachi
sen gohyaku gojuu hachi, sanzen gohyaku rokujuu go
hachijuu san, yonjuu san
roppyaku hatachi hachi, ni sen yonhyaku sanjuu san
ni sen nihyaku sanjuu shichi, ni sen nihyaku hachijuu kyuu
nihyaku juugo, ni sen nihyaku sanjuu hachi
ni sen happyaku kyuujuu hitotsu, sen roppyaku sanjuu san
yonsen gohyaku shichijuu kyuu, yonsen nanahyaku juukyuu
yonsen gohyaku shichijuu kyuu, sen kyuuhyaku hachijuu go
ni sen kyuuhyaku hatachi san, sen roppyaku hachijuu ni
ni sen roppyaku san, sanzen kyuujuu ni
sen gojuu go, yonsen happyaku kyuujuu roku
ni sen roppyaku sanjuu kyuu, yonsen yonhyaku kyuu
sen gohyaku gojuu yon, sanzen hyaku hatachi san
sen roppyaku yonjuu, sen nihyaku rokujuu san
sanzen kyuuhyaku shichijuu yon, sanzen juuni
yonhyaku rokujuu hachi, ni sen nanahyaku shichi
yonsen kyuujuu san, kyuuhyaku hachijuu go
ni sen nihyaku sanjuu hachi, sanzen nihyaku gojuu yon
yonsen yonjuu ni, sanbyaku rokujuu hachi
sanzen sanbyaku shichi, sanzen roppyaku yonjuu hitotsu
gohyaku gojuu hachi, sanzen go
sanzen gojuu go, sen yonhyaku hachijuu kyuu
sen kyuuhyaku hatachi hachi, sen sanbyaku juukyuu
nanahyaku yonjuu hachi, ni sen nihyaku shichijuu yon
ni sen kyuujuu shichi, roppyaku juushichi
roppyaku gojuu kyuu, ni sen roppyaku juushi
sen sanbyaku juushichi, sanzen roppyaku hachijuu hitotsu
sen roppyaku yonjuu roku, hyaku juusan
ni sen nanahyaku gojuu roku, yonsen nihyaku hachijuu hitotsu
yonsen sanbyaku hachijuu yon, ni sen roppyaku yonjuu ni
ni sen gohyaku yonjuu san, sen sanbyaku juushichi
sanzen gohyaku juushi, gojuu hitotsu
nihyaku rokujuu kyuu, sanzen yonhyaku juuni
nihyaku hatachi shichi, sanzen sanbyaku kyuujuu hachi
yonsen happyaku go, roppyaku sanjuu kyuu
ni sen yonhyaku sanjuu yon, nanahyaku yonjuu shichi
yonsen hatachi, sanjuu yon
gohyaku shichijuu hachi, kyuujuu shichi
sen gohyaku kyuujuu ni, ni sen nihyaku hatachi roku
kyuujuu san, yonsen gohyaku hachijuu kyuu
yonsen roppyaku gojuu go, ni sen nanahyaku rokujuu roku
sanbyaku yonjuu kyuu, sen yonhyaku kyuujuu go
sanzen hyaku gojuu yon, yonsen hyaku kyuujuu
sanbyaku yonjuu ni, sen gohyaku shichijuu kyuu
ni sen gohyaku shichi, sanzen yonhyaku shichijuu san
yonsen sanbyaku rokujuu san, yonsen gohyaku kyuujuu kyuu
sanzen sanbyaku shichijuu san, ni sen nanahyaku shichijuu yon
ni sen yonhyaku kyuujuu hachi, sen roppyaku yonjuu shichi
sanzen hatachi roku, sanzen nanahyaku juukyuu
sanzen nihyaku yonjuu ni, sen nanahyaku yonjuu san
yonsen kyuuhyaku gojuu ni, kyuuhyaku hatachi hachi
sanzen nihyaku sanjuu go, sen happyaku yonjuu hachi
yonsen nanahyaku rokujuu go, ni sen nihyaku san
sanzen nanahyaku shichijuu go, happyaku hatachi kyuu
sanzen nihyaku gojuu go, ni sen sanjuu kyuu
yonsen sanbyaku sanjuu yon, yonsen happyaku hachijuu yon
sen nanahyaku sanjuu go, sanzen hyaku juusan
sen hyaku rokujuu hitotsu, happyaku roku
ni sen hyaku juukyuu, sanzen nihyaku shichi
sen gojuu go, ni sen gohyaku sanjuu ni
hatachi ni, ni sen hyaku juuhachi
sanzen gohyaku gojuu yon, yonhyaku sanjuu san
yonsen hyaku hatachi hitotsu, sen kyuuhyaku gojuu yon
sen nanahyaku yon, ni sen happyaku sanjuu kyuu
yonsen nihyaku kyuujuu, sen kyuuhyaku yonjuu
sen nanahyaku shichijuu kyuu, yonsen nihyaku yonjuu shichi
sen kyuuhyaku juuhachi, sanzen kyuuhyaku shichijuu hachi
nanahyaku shichijuu shichi, ni sen kyuuhyaku gojuu ni
sen kyuuhyaku gojuu yon, sanzen happyaku rokujuu shichi
sen hyaku sanjuu ni, sanzen yonhyaku kyuu
sen sanbyaku hitotsu, sanzen yonhyaku hitotsu
sanzen gohyaku hachijuu ni, yonhyaku hachijuu kyuu
ni sen sanbyaku shichijuu ni, yonsen nihyaku hatachi san
yonsen nihyaku gojuu kyuu, nanahyaku kyuujuu yon
ni sen shichijuu shichi, sen yonhyaku ni
sanbyaku kyuujuu hitotsu, yonsen hyaku shichijuu san
sanzen nihyaku gojuu go, hatachi hitotsu
sanzen gohyaku sanjuu hachi, yonsen gohyaku hatachi hitotsu
sen nihyaku gojuu shichi, kyuujuu
ni sen gohyaku gojuu san, ni sen yonhyaku yonjuu
ni sen yonhyaku hatachi yon, yonsen happyaku rokujuu kyuu
sanzen sanbyaku hatachi go, sen happyaku gojuu shichi
happyaku juu, ni sen nihyaku hachijuu kyuu
sanzen roppyaku kyuujuu shichi, ni sen happyaku kyuujuu ni
sanzen nihyaku juukyuu, yonsen nihyaku kyuujuu yon
ni sen nanahyaku, hyaku shichijuu hachi
sen sanbyaku hatachi kyuu, sen hyaku juugo
hachi, ni sen hyaku shichijuu ni
hyaku rokujuu hitotsu, ni sen hyaku sanjuu hachi
hatachi yon, kyuuhyaku hachi
sen hyaku juukyuu, ni sen gohyaku hatachi hitotsu
kyuuhyaku shichi, yonsen hyaku shichijuu roku
sen nanahyaku sanjuu san, kyuuhyaku yonjuu go
yonsen happyaku shichijuu go, nihyaku hitotsu
happyaku hatachi hachi, sanbyaku kyuujuu go
yonhyaku shichijuu ni, sen gohyaku gojuu go
yonsen happyaku hatachi, yonsen yonhyaku gojuu yon
sanzen nanahyaku gojuu go, ni sen hyaku gojuu ni
yonhyaku kyuujuu shichi, sanzen nanahyaku yonjuu
sen shichijuu san, sanzen nanahyaku hatachi yon
yonsen sanbyaku shichijuu kyuu, sanzen hyaku ni
ni sen nihyaku sanjuu kyuu, sen gohyaku yonjuu san
sen yonhyaku yonjuu roku, yonsen gohyaku rokujuu ni
sanzen nanahyaku ni, yonsen gohyaku juuhachi
sanzen gohyaku kyuujuu, nihyaku juuni
sanzen gohyaku shichijuu yon, ni sen hyaku yon
sanzen happyaku sanjuu hitotsu, sanzen gohyaku hachijuu san
kyuuhyaku hatachi shichi, sanzen shichijuu san
sanzen roppyaku kyuujuu shichi, yonsen kyuuhyaku kyuujuu hitotsu
yonsen nanahyaku hatachi, sanzen gohyaku juusan
ni sen sanbyaku rokujuu go, sen nanahyaku juusan
nanahyaku rokujuu go, sen happyaku rokujuu yon
ni sen sanbyaku, sen kyuuhyaku sanjuu hachi
sen nanahyaku juuni, yonsen kyuuhyaku rokujuu hachi
ni sen gojuu go, sen gohyaku gojuu shichi
nihyaku kyuujuu yon, sanzen kyuuhyaku kyuu
sen hyaku gojuu san, yonsen happyaku shichijuu hitotsu
sanzen gohyaku rokujuu hachi, yonsen yonhyaku juugo
yonsen gohyaku hatachi san, sen sanbyaku san
sanzen kyuuhyaku hachijuu kyuu, hitotsu
sen kyuuhyaku hachijuu hitotsu, sen yonhyaku kyuujuu go
kyuuhyaku kyuujuu hitotsu, hyaku yonjuu san
yonsen hyaku kyuujuu san, ni sen hyakuhachi juuhachi
sanzen yonhyaku yonjuu yon, ni sen kyuuhyaku kyuujuu san
kyuuhyaku gojuu go, yonsen yonhyaku yonjuu
sanzen roppyaku yonjuu, yonsen happyaku gojuu san
sen kyuuhyaku shichijuu shichi, ni sen yonjuu go
nihyaku rokujuu hachi, yonsen yonhyaku sanjuu hitotsu
happyaku shichijuu hachi, yonsen gohyaku juukyuu
ni sen nanahyaku kyuujuu ni, yonsen happyaku sanjuu yon
sen happyaku rokujuu kyuu, sen roppyaku
ni sen sanbyaku rokujuu, sanzen yonhyaku shichijuu san
sen hyaku shichijuu hitotsu, sanzen kyuuhyaku hitotsu
ni sen kyuujuu ni, sen hachijuu yon
sanzen sanbyaku yon, yonsen nanahyaku hatachi shichi
yonhyaku gojuu yon, ni sen happyaku san
ni sen hyaku gojuu ni, sanzen nihyaku sanjuu kyuu
sanzen rokujuu shichi, ni sen kyuujuu hachi
ni sen sanjuu ni, ni sen yonhyaku juugo
sen sanbyaku, sen yonhyaku gojuu hachi
ni sen hatachi ni, sen yonhyaku go
sen roppyaku yon, sen nihyaku yonjuu hitotsu
ni sen kyuuhyaku sanjuu hitotsu, sanzen kyuuhyaku kyuujuu san
ni sen nihyaku sanjuu yon, yonsen happyaku kyuujuu hitotsu
sen sanbyaku kyuujuu hitotsu, yonsen nanahyaku gojuu ni
sen nanahyaku shichijuu yon, sen happyaku rokujuu san
yonsen nihyaku san, yonsen gohyaku juuichi
sanzen kyuuhyaku san, ni sen roppyaku shichijuu kyuu
happyaku sanjuu yon, roppyaku sanjuu hachi
sanzen hyaku hatachi go, sanzen kyuuhyaku yon
nanahyaku hachijuu go, yonsen hyaku juusan
sen hyaku juuni, juu
sanzen nihyaku hachijuu go, sanzen go
sanzen hyaku juusan, sanzen kyuujuu san
yonsen nihyaku gojuu ni, sen happyaku hatachi hachi
sanzen nanahyaku shichijuu, yonsen yonhyaku hachijuu go
ni sen gohyaku shichijuu roku, gohyaku juuichi
ni sen nihyaku kyuujuu go, sanbyaku shichijuu kyuu
gojuu kyuu, sen sanjuu hachi
ni sen roppyaku yonjuu hachi, gohyaku yonjuu roku
sen roppyaku shichijuu ni, sanzen kyuuhyaku rokujuu shichi
yonsen gohyaku hachijuu shichi, yonsen kyuuhyaku yonjuu shichi
sen nihyaku juushichi, sanzen yonhyaku shichijuu yon
ni sen hachi, sanzen yonhyaku rokujuu roku
yonhyaku hatachi ni, sen roppyaku hachijuu hachi
shichi, sanzen nanahyaku shichijuu go
sen hyaku yonjuu san, sanzen kyuuhyaku hatachi ni
sen nihyaku san, sanzen yonhyaku juuichi
yonhyaku hatachi ni, yonsen nanahyaku juusan
sen yonhyaku hatachi hitotsu, gohyaku kyuujuu ni
hyaku hatachi shichi, sanzen happyaku yonjuu shichi
ni sen roppyaku rokujuu yon, yonsen roppyaku shichijuu go
sanzen nihyaku kyuujuu ni, happyaku hatachi hitotsu
ni sen yon, ni sen nihyaku rokujuu ni
sen shichijuu, sen nanahyaku gojuu go
sen shichijuu ni, ni sen sanbyaku rokujuu san
sanzen nihyaku juugo, sanzen hyaku sanjuu shichi
yonsen sanbyaku rokujuu shichi, ni sen hyaku yonjuu hitotsu
sen kyuuhyaku rokujuu go, yonsen gojuu shichi
roppyaku yonjuu shichi, hyaku kyuujuu shichi
sanzen nihyaku sanjuu kyuu, sen kyuuhyaku hachijuu ni
sanzen kyuuhyaku gojuu kyuu, sanbyaku gojuu
yonsen hyaku sanjuu san, ni sen roppyaku kyuujuu roku
yonhyaku sanjuu yon, yonsen happyaku sanjuu
sanzen juu, yonsen gojuu roku
sanbyaku, sen nanahyaku sanjuu kyuu
sanbyaku hachijuu san, sanzen yonhyaku hatachi shichi
sen gohyaku gojuu, ni sen gohyaku hatachi hachi
kyuuhyaku gojuu yon, ni sen kyuujuu shichi
ni sen nihyaku hatachi san, sanzen kyuuhyaku sanjuu hitotsu
yonsen hachijuu go, ni sen nihyaku juugo
yonsen shichijuu shichi, sanzen hyaku juu
yonhyaku sanjuu roku, sanzen sanbyaku shichijuu shichi
sanbyaku hitotsu, sen kyuuhyaku hatachi hachi
happyaku hachijuu hachi, sanzen gohyaku sanjuu roku
yonsen gohyaku sanjuu, yonsen gohyaku hatachi hachi
yonsen kyuuhyaku shichi, sen roppyaku go
yonsen gohyaku rokujuu go, sen roppyaku rokujuu hitotsu
nihyaku shichijuu yon, sanzen nanahyaku hatachi go
gohyaku hatachi yon, yonsen yonhyaku shichi
roppyaku sanjuu hitotsu, sen happyaku sanjuu kyuu
ni sen hyakuhachi juusan, sanzen kyuuhyaku kyuujuu yon
kyuuhyaku shichijuu ni, juuichi
sanzen yonhyaku yonjuu roku, gohyaku gojuu san
sanzen kyuuhyaku hatachi go, sanzen yonhyaku yonjuu roku
yonsen roppyaku kyuujuu go, sen gohyaku juukyuu
yonhyaku hachijuu shichi, sanzen happyaku roku
sanzen hyaku shichijuu shichi, sanzen kyuujuu yon
ni sen gohyaku kyuujuu yon, ni sen roppyaku rokujuu hitotsu
happyaku shichi, sen hyaku kyuujuu go
ni sen nihyaku sanjuu san, sen happyaku shichijuu roku
sanzen happyaku hatachi hitotsu, yonsen rokujuu shichi
sen roppyaku yonjuu hitotsu, ni sen hyaku shichijuu hitotsu
sen roppyaku rokujuu shichi, yonsen happyaku yonjuu hitotsu
sen nanahyaku hachijuu hitotsu, sanzen hyaku gojuu ni
yonhyaku shichijuu san, yonsen yonhyaku hachijuu hitotsu
ni sen sanbyaku hachijuu hitotsu, gohyaku hatachi ni
yonsen hyaku rokujuu san, sen sanbyaku hatachi ni
sen yonhyaku yonjuu yon, ni sen gohyaku hitotsu
sanzen happyaku rokujuu ni, sen kyuuhyaku go
sen hyaku kyuujuu roku, ni sen nihyaku rokujuu roku
yonsen gohyaku kyuujuu go, ni sen kyuuhyaku shichijuu hitotsu
nanahyaku hachijuu, yonsen gohyaku sanjuu hachi
yonsen kyuujuu, sanzen roppyaku yonjuu kyuu
ni sen hyaku hatachi san, sanzen roppyaku sanjuu go
ni sen yonhyaku, sen hyaku
yonsen gojuu hitotsu, ni sen nanahyaku sanjuu ni
yonsen nihyaku gojuu kyuu, ni sen sanjuu go
sen nanahyaku shichijuu ni, ni sen roppyaku ni
sen hyaku juusan, sanzen happyaku rokujuu ni
ni sen yonhyaku kyuu, sen nihyaku rokujuu kyuu
sen hyaku gojuu yon, sanzen sanbyaku sanjuu hitotsu
sen kyuuhyaku shichijuu go, roppyaku hachi
sanbyaku gojuu ni, kyuuhyaku kyuujuu ni
ni sen nanahyaku kyuu, yonsen yonhyaku yonjuu shichi
ni sen gohyaku shichijuu go, sen kyuuhyaku kyuu
sen hyaku hatachi go, yonsen hyakuhachi juukyuu
yonsen yonhyaku hatachi yon, sen sanjuu hachi
sanzen kyuuhyaku hachijuu kyuu, ni sen hyakuhachi juushichi
yonhyaku yonjuu roku, sen hyaku hatachi yon
shichijuu shichi, sen yonhyaku sanjuu go
sanbyaku rokujuu hachi, yonhyaku sanjuu
sen nanahyaku ni, sen gohyaku shichijuu san
sen happyaku san, sen gohyaku gojuu shichi
ni sen nihyaku sanjuu go, sanzen kyuuhyaku hitotsu
sanzen roppyaku gojuu ni, sen roppyaku sanjuu ni
yonsen happyaku juusan, nanahyaku hachijuu kyuu
ni sen yonhyaku juuroku, ni sen kyuujuu ni
ni sen roppyaku sanjuu san, sanbyaku hachijuu hachi
happyaku yonjuu yon, sen hyaku shichijuu
sen roppyaku rokujuu yon, yonsen kyuujuu
happyaku hatachi kyuu, ni sen juu
sen kyuuhyaku hatachi ni, sen hyaku rokujuu ni
sanzen roppyaku yonjuu hachi, sen happyaku juuni
ni sen yonhyaku shichijuu, ni sen roppyaku kyuujuu roku
ni sen roppyaku hachijuu go, sanzen nanahyaku sanjuu hitotsu
yonsen happyaku kyuujuu san, gohyaku kyuujuu shichi
yonsen happyaku juuroku, sanzen hatachi ni
ni sen roppyaku kyuujuu yon, sanzen roppyaku kyuujuu hachi
yonsen sanbyaku sanjuu roku, ni sen nihyaku hachijuu hachi
sen kyuuhyaku gojuu san, sen sanbyaku gojuu kyuu
nihyaku hachi, sanzen hyaku kyuujuu san
ni sen juuichi, sen nihyaku hatachi san
yonsen yonhyaku hitotsu, ni sen nihyaku shichijuu san
ni sen gohyaku kyuujuu hitotsu, ni sen roppyaku hatachi
yonsen kyuuhyaku gojuu ni, sen rokujuu san
yonsen gohyaku gojuu hachi, ni sen happyaku sanjuu kyuu
yonsen sanbyaku hachi, yonsen hyakuhachi juuroku
yonsen happyaku sanjuu go, sen kyuuhyaku rokujuu kyuu
kyuuhyaku yonjuu hitotsu, sanzen yonhyaku kyuujuu
ni sen hyaku gojuu san, ni sen gohyaku rokujuu
sanzen hyaku shichijuu, sanzen nihyaku hachijuu roku
kyuuhyaku shichijuu yon, yonsen kyuuhyaku hachijuu shichi
happyaku shichijuu go, ni sen yonhyaku yonjuu san
sen nanahyaku juuni, yonsen kyuuhyaku
hyaku kyuujuu roku, yonsen gohyaku gojuu go
yonhyaku yonjuu hitotsu, sanzen nanahyaku hachijuu yon
yonsen happyaku hatachi roku, yonsen kyuuhyaku hatachi hachi
nihyaku sanjuu hachi, sanzen nanahyaku gojuu ni
sen kyuuhyaku hatachi ni, gohyaku shichi
ni sen sanbyaku rokujuu shichi, hyakuhachi juugo
ni sen sanbyaku hachijuu hitotsu, ni sen nihyaku juuichi
ni sen yonhyaku gojuu go, yonsen gohyaku rokujuu hitotsu
sen happyaku shichijuu san, yonhyaku roku
ni sen nihyaku juuhachi, yonsen sanjuu roku
nihyaku yonjuu go, sanzen sanbyaku rokujuu kyuu
roppyaku yonjuu san, yonsen nanahyaku ni
sen kyuuhyaku hachijuu roku, hyaku gojuu kyuu
sen happyaku shichijuu hitotsu, sanzen hyaku hatachi yon
ni sen yonhyaku shichijuu yon, yonsen happyaku gojuu san
sanzen gojuu hachi, yonsen sanbyaku rokujuu hitotsu
ni sen sanbyaku shichijuu shichi, hyaku go
yonsen happyaku hachi, yonsen happyaku shichijuu san
sen roppyaku hatachi, happyaku gojuu roku
yonsen roppyaku kyuujuu san, sen nanahyaku rokujuu
nihyaku hachijuu san, sen sanbyaku kyuu
sanzen nihyaku kyuujuu san, sanzen yonjuu hitotsu
juushichi, ni sen yonhyaku hachijuu kyuu
sen hyaku rokujuu go, sanbyaku kyuujuu yon
sanzen hyakuhachi, ni sen roppyaku juuroku
sen sanbyaku hatachi yon, yonsen hyaku kyuujuu ni
sen roppyaku rokujuu shichi, roppyaku shichijuu hitotsu
sen happyaku hachijuu, sen hyaku yonjuu ni
gohyaku sanjuu hachi, sen happyaku shichijuu hitotsu
gojuu roku, ni sen nanahyaku juuhachi
sanzen gohyaku shichijuu roku, ni sen roppyaku juuichi
sanzen yonhyaku juushichi, yonsen happyaku yonjuu shichi
nanahyaku hachijuu yon, shichijuu go
yonsen kyuuhyaku hachijuu yon, sanzen roppyaku gojuu yon
yonsen happyaku hachijuu roku, yonsen yonhyaku gojuu san
sen kyuuhyaku yonjuu, ni sen sanbyaku gojuu go
ni sen juusan, sanzen sanbyaku sanjuu kyuu
nihyaku kyuujuu kyuu, sanzen hyaku kyuujuu yon
sen juusan, sen sanbyaku shichijuu san
ni sen happyaku rokujuu ni, sanzen yonhyaku rokujuu roku
sanzen nihyaku rokujuu hachi, go sen
ni sen kyuuhyaku shichijuu hitotsu, ni sen gohyaku hachijuu hachi
yonsen yonhyaku ni, sen shichijuu roku
nihyaku roku, ni sen nanahyaku hatachi yon
yonsen nihyaku rokujuu go, gohyaku rokujuu kyuu
ni sen happyaku hachijuu ni, sanzen hyaku juuhachi
ni sen hyaku yonjuu roku, sanzen happyaku shichijuu shichi
ni sen nanahyaku hatachi go, ni sen sanjuu hachi
yonsen happyaku hitotsu, sen hyaku shichijuu hitotsu
yonsen hyaku yonjuu roku, sanzen yonhyaku juu
ni sen hyakuhachi juuroku, sanzen kyuuhyaku shichijuu yon
nihyaku sanjuu hachi, yonsen kyuuhyaku rokujuu hachi
yonsen sanbyaku hachijuu hitotsu, yonsen hachijuu shichi
sen gojuu hachi, ni sen nanahyaku hatachi roku
sen nihyaku rokujuu ni, sanzen gohyaku sanjuu hitotsu
san, sanzen roppyaku sanjuu san
sanzen nihyaku hatachi go, roppyaku gojuu shichi
kyuuhyaku kyuujuu shichi, yonsen sanbyaku yonjuu roku
san, ni sen kyuuhyaku hachijuu roku
sen sanbyaku sanjuu san, sen gohyaku shichijuu
yonsen happyaku hachijuu hachi, sen nihyaku rokujuu
ni sen hyaku yonjuu ni, yonsen nanahyaku shichijuu kyuu
sen nanahyaku sanjuu go, happyaku gojuu go
ni sen sanbyaku gojuu hitotsu, ni sen sanbyaku hachijuu san
sanzen kyuuhyaku rokujuu hitotsu, sen happyaku hatachi roku
ni sen sanbyaku hatachi san, ni sen sanbyaku juukyuu
ni sen hatachi shichi, sanzen kyuuhyaku yonjuu go
sanzen nihyaku kyuujuu shichi, juuichi
sanzen happyaku juusan, sanzen gohyaku juushichi
gohyaku hachi, yonsen kyuuhyaku gojuu
yonhyaku rokujuu hachi, yon
sanzen rokujuu yon, happyaku kyuujuu hachi
hyaku hatachi shichi, yonsen gohyaku hatachi san
ni sen nanahyaku hachijuu roku, rokujuu san
ni sen hachijuu hitotsu, yonjuu yon
yonsen kyuuhyaku hatachi kyuu, sanzen kyuuhyaku sanjuu hitotsu
sanbyaku shichijuu san, kyuuhyaku shichijuu go
yonsen hyakuhachi, yonsen gohyaku hatachi
sen kyuuhyaku rokujuu hachi, yonsen nanahyaku kyuujuu hachi
gojuu hitotsu, ni sen hyaku juuichi
sen juu, sen hyaku yonjuu
yonhyaku rokujuu kyuu, sanzen nanahyaku juushi
yonsen gohyaku hachijuu san, ni sen hyaku hatachi hachi
ni sen roppyaku juuhachi, ni sen yonhyaku gojuu roku
yonsen hyaku hatachi roku, sanzen nanahyaku hatachi go
sanzen kyuuhyaku shichijuu hachi, ni sen nihyaku yonjuu shichi
yonsen gohyaku kyuujuu hitotsu, happyaku rokujuu go
roppyaku hatachi yon, sen nihyaku juu
sen happyaku juushi, yonsen yonhyaku yonjuu hachi
hyaku kyuujuu ni, ni sen hyakuhachi juuichi
ni sen nihyaku juushi, sen nanahyaku gojuu roku
